bm,bn,en,zh-CN,hi,es,fr
মোবাইল চেইতে চেইতে সওগি নমিলা,মোবাইল দেখতে দেখতে শিশুরা শেষ,Children end up looking at mobile phones,孩子最终会看手机,बच्चे मोबाइल फोन देखने लगते हैं,Los niños acaban mirando el móvil,Les enfants finissent par regarder leurs téléphones portables
চৈতন্য পূজার বার্তন করিয়া আহগা যাগা,চৈতন্য পূজার নিমন্ত্রণ দিয়ে আসো যাও,Come with the invitation of Chaitanya Puja,带着 Chaitanya Puja 的邀请前来,चैतन्य पूजा का निमंत्रण लेकर आएँ,Ven con la invitación de Chaitanya Puja.,Venez avec l'invitation de Chaitanya Puja
সরাহাৎ মাছ দরতারা চেইগা আয়,খালে মাছ ধরছে দেখতে যায় চলো,Let's go to see the fishing in the canal,我们去运河里看看钓鱼吧,चलो नहर में मछली पकड़ते देखने चलते हैं,Vamos a ver la pesca en el canal.,Allons voir la pêche dans le canal
মুরগ বুলার বুললে ইঙগ ইয়া বহ খানি,মাথা ঘুরাচ্ছে মনে হলে চুপ করে একটু বসো,"If you feel dizzy, sit quietly",如果你感到头晕，请安静地坐着,अगर आपको चक्कर आ रहा है तो चुपचाप बैठें,"Si te sientes mareado, siéntate tranquilamente.","Si vous vous sentez étourdi, asseyez-vous tranquillement"
কি চুনাহান,কতো সুন্দর,how beautiful,多么美丽,कितनी सुंदर है,Qué hermoso,comme c'est beau
পউরুকা করতাঙাই নাই,পরশু করবোনে,I will do it the day after tomorrow,我后天做,मैं इसे परसों करूंगा,lo haré pasado mañana,je le ferai après-demain
পথহাৎ উবাইয়া কারে চাউরিহান,পথে দাঁড়িয়ে কাকে দেখছো,Who do you see standing on the road?,你看到谁站在路上？,तुम्हें सड़क पर कौन खड़ा दिख रहा है?,¿A quién ves parado en el camino?,Qui voyez-vous debout sur la route ?
ডাটা এন্ট্রি করে পাররগ,ডাটা এন্ট্রি করতে পারো,You can enter data,您可以输入数据,आप डेटा दर्ज कर सकते हैं,Puedes ingresar datos,Vous pouvez saisir des données
তি কালুয়াগ না কিহান,চাং অহান ডাকিয়াউ না হুনর,Chang Ahan Dakiau na Hunor,张阿汉·达基奥·纳·胡诺尔,चांग अहान दकियाउ ना हुनोर,Chang Ahan Dakiau na Hunor,Chang Ahan Dakiau na Hunor
ককারা চুল ইলে চিনা হাননো আসুরানি হিন,কোঁকড়া চুল হলে চিরুনি দিয়ে ঠিক করা কঠিন,Curly hair is difficult to comb,卷发很难梳理,घुंघराले बालों में कंघी करना मुश्किल होता है,El cabello rizado es difícil de peinar.,Les cheveux bouclés sont difficiles à coiffer
চিনাহান বিসারিয়া না-পাওরি,চিরুনি খোঁজে পাচ্ছিনা,I can't find the comb,我找不到梳子,मुझे कंघी नहीं मिल रही,no encuentro el peine,je ne trouve pas le peigne
পঙতল খেইতে গিয়া দাতগ নমিল,পেয়ারা খেতে গিয়ে দাঁত শেষ,I lost my teeth while eating guava,我吃番石榴的时候牙齿掉了,अमरूद खाते-खाते मेरे दाँत टूट गये,Perdí mis dientes mientras comía guayaba.,J'ai perdu mes dents en mangeant de la goyave
বাবারো নারিকন সপা অহান কত দিগল ইসেহানে,বাবাগো নারকেল গাছটা কতো লম্বা,"Dad, how tall is the coconut tree?",爸爸，椰子树有多高？,"पिताजी, नारियल का पेड़ कितना ऊँचा है?","Papá, ¿cuánto mide el cocotero?","Papa, quelle est la hauteur du cocotier ?"
হারপিয়া অতারিস,বুঝেশুনে কথা বলবে,Speak with understanding,用理解的方式说话,समझकर बोलें,Habla con comprensión,Parlez avec compréhension
বহকগ মেঙকুরুক দে সেন্ধ্যাহান ইল,বৌমা ধুনো দাও সন্ধ্যা হলো,"Grandma, wash it, it's evening",奶奶，快洗吧，已经晚上了,"दादी, इसे धो लो, शाम हो गई है","Abuela, lávala, es de noche.","Grand-mère, lave-le, c'est le soir"
বান্দর আগ আহিয়া পঙতলগি খেইয়া নমপরল,একটা  বা্নর এসে পেয়ারা খেয়ে শেষ করে দিলো,A monkey came and finished eating the guava,一只猴子来了，把番石榴吃完了,एक बंदर आया और अमरूद खाकर ख़त्म हो गया,Llegó un mono y terminó de comerse la guayaba.,Un singe est venu et a fini de manger la goyave
আপপানে মানুর লগে দরাবাদা নাকরি,শুধু শুধু মানুষের সাথে দস্তাদস্তি করোনা,Don't just shake hands with people,不要只与人握手,बस लोगों से हाथ न मिलाएं,No sólo le des la mano a la gente,Ne vous contentez pas de serrer la main des gens
তরে নিংশিং অওরি,তোমাকে মনে পড়ছে,remember you,记得你,आपको याद करते हैं,recordarte,souviens-toi de toi
অগরে না লাঙকোরিও,তার সাথে মশকরা করোনা,Don't mess with him,别惹他,उसके साथ खिलवाड़ मत करो,No te metas con el,Ne plaisante pas avec lui
কিহান খালকররতা,কি চিন্তা করছ,what are you thinking,你在想什么,आप क्या सोच रहे हैं,¿Qué estás pensando?,à quoi penses-tu
খানি আগুয়ার,খানি লামের অর,Khani Lamer Or,卡尼·拉默·奥尔,खानी लैमर या,Khani Lamer o,Khani Lamer ou
উদাহিসি কথা না অতারি,এলোমেলো কথা বলোনা,Don't talk nonsense,别乱说,बकवास मत करो,No digas tonterías,Ne dis pas de bêtises
হিদমাছনো কসু বাজিয়া খেইলে হুয়াৎ অর,হিদল দিয়ে কচু ভেজে খেলে স্বাদ হয়,Kachu is fried with Hidal and tastes good,Kachu和Hidal一起炒，味道不错,काचू को हिडाल के साथ तला जाता है और इसका स्वाद अच्छा होता है,Kachu se fríe con Hidal y sabe bien,Kachu est frit avec Hidal et a bon goût
পৌ আহান হুনিয়া জবর হারু লাগিল,একটা খবর শুনে খুব খুশি লাগলো,I was very happy to hear the news,听到这个消息我很高兴,खबर सुनकर मुझे बहुत खुशी हुई,Me alegré mucho de escuchar la noticia.,J'étais très heureux d'apprendre la nouvelle
ইঙহানে জাংহানি নিকদানি অকরল,ঠাণ্ডায় পা গুলো কাঁপতে শুরু করলো,The legs began to tremble in the cold,双腿在寒冷中开始颤抖,ठंड से पैर कांपने लगे,Las piernas empezaron a temblar por el frío.,Les jambes ont commencé à trembler dans le froid
এহানতে কোন মাহা হান,এটা কোন মাস,what month is it,现在是几月,आप पढ़ाई कब करते हो,que mes es,quel mois est-on
জারহান জবর ইসে এমতাগা,ঠাণ্ডা বেশি পড়েছে এবার,It's cold now,现在很冷,अभी ठंड है,hace frio ahora,Il fait froid maintenant
বুলানি মাৎলে মোরে হাবির আগে পৈতাউ,ঘুরতে বললে আমাকে সবার আগে পাবে,"If you ask me to go around, you will find me first",如果你叫我绕一圈 你会先找到我,अगर तुम मुझसे घूमने के लिए कहोगे तो सबसे पहले मुझे पाओगे,"Si me pides que vaya, me encontrarás primero.","Si tu me demandes de faire le tour, tu me trouveras en premier"
কুরাং আহাৎ গিয়া পাকদিয়া আহিকগা,কোথাও গিয়ে ঘুরে আসি,Let's go somewhere,我们去某个地方吧,आओ कहीं चलें,vamos a alguna parte,Allons quelque part
খিচুরি আহান খেইক,একটা খিচুরি খায়,Eats a snack,吃点零食,नाश्ता खाता है,come un bocadillo,Mange une collation
মণিপুরি শাড়ি আহান পিদানি আহের,একটা মণিপুরি শাড়ি পড়তে ইচ্ছে করছে,I want to wear a Manipuri saree,我想穿曼尼普尔邦纱丽,मैं मणिपुरी साड़ी पहनना चाहती हूं,Quiero usar un sari Manipuri,Je veux porter un sari Manipuri
হইমা পাহুরে বেলাসু জানে,ওহ ভুলে গিয়েছি একদম,"Oh, I completely forgot",哦，我完全忘记了,"ओह, मैं पूरी तरह से भूल गया","Oh, lo olvidé por completo","Oh, j'ai complètement oublié"
উমেই আহান লনা লাগতই,হাতপাখা একটা কিনতে হবে,You have to buy a hand fan,你得买个手扇,आपको एक हाथ का पंखा खरीदना होगा,Tienes que comprar un abanico.,Il faut acheter un éventail
উমেই হান্ন বৌদে,হাতপাখা নিয়ে বাতাস করো,Fan the air,扇动空气,हवा चलाओ,ventilar el aire,Ventilez l’air
মি এপাগা ঘুমাসু,আমি এখন ঘুমাচ্ছি,i am sleeping now,我现在正在睡觉,मैं नींद में हूं,estoy durmiendo ahora,je dors maintenant
মি বহিয়া আসু,আমি বসে আছি,i am sitting,我坐着,मैं बैठा हूं,estoy sentado,je suis assis
মি এপাগা গরে আসু,আমি এখন বাড়িতে আছি,I am at home now,我现在在家,मैं अब घर पर हूँ,estoy en casa ahora,je suis à la maison maintenant
মি আহানি নুয়ারিম,আমি আসতে পারব না,i can't come,我不能来,में नही आ,no puedo venir,je ne peux pas venir
মর বাপক আহিল,আমার বাবা আসছে,my father is coming,我父亲来了,मेरे पिता आ रहे हैं,mi padre viene,mon père arrive
এপাগা আহিল,এখন আসছে,coming now,现在来,आ रहा है,viniendo ahora,j'arrive maintenant
উমেই হান দে,হাতপাখা দাও,Give me a hand,帮我一下,मेरी सहयता करो,Dame una mano,Donne-moi un coup de main
ঘুম আহে,ঘুম আসছে,getting sleepy,困了,उनींदा होना,tener sueño,avoir sommeil
ঘুম আহের,ঘুম আসছে,getting sleepy,困了,उनींदा होना,tener sueño,avoir sommeil
তি কুমপাগা আহিলে হান,তুমি কখন আসছ,when are you coming,你什么时候来,आप कब आ रहे हैं,cuando vienes,quand viens-tu
পানি আনগা,পানি আনো,bring water,带水,पानी लाओ,traer agua,apporter de l'eau
কিয়া অক্ক অর হান,কেনো এইরকম হচ্ছে,Why is this happening?,为什么会发生这种情况？,ऐसा क्यों हो रहा है?,¿Por qué sucede esto?,Pourquoi cela se produit-il ?
আতানি অকর,হাঁটা শুরু কর,start walking,开始行走,चलना शुरू करो,empezar a caminar,commence à marcher
মি আহুরি,আমি আসছি,i am coming,我来了,आ रहा हूँ,Vengo,J'arrive
মি বাজারে জাউরিগা,আমি বাজারে যাচ্ছি,I am going to the market,我要去市场,मैं बाजार के लिए जा रहा हूँ,voy al mercado,je vais au marché
গেলুগা অত্তে,যাচ্ছি তাহলে,I'm going then,那我就去,तो मैं जा रहा हूँ,me voy entonces,j'y vais alors
ভাত খেইলেগ,ভাত খেয়েছো,you ate rice,你吃了米饭,आपने चावल खाया,comiste arroz,tu as mangé du riz
মর কাদাহাত বহিল,আমার কাছে বসছে,sitting near me,坐在我附近,मेरे पास बैठे,sentado cerca de mi,assis près de moi
খানা নাহের,খেতে ইচ্ছা করছে না,does not want to eat,不想吃饭,खाना नहीं चाहता,no quiere comer,ne veut pas manger
আখিগর লগে গারিগৎ পেয়া ঘুমহান লাগিসে,প্রচন্ড ঘুম পেয়েছে শরীর আর চলে না,He got a lot of sleep and his body doesn't move anymore,他睡了很多觉，身体不再动了,उसे बहुत नींद आ गई और उसका शरीर अब हिलता-डुलता नहीं है,Durmió mucho y su cuerpo ya no se mueve.,Il a beaucoup dormi et son corps ne bouge plus
জাঙর পাতাহান তিঙে যারগা আহির পানিল,অশ্রুধারায় ভিজে যাচ্ছে পায়ের পাতা,Feet are getting wet with tears,脚已被泪水打湿,पैर आंसुओं से भीग रहे हैं,Los pies se mojan con lágrimas.,Les pieds sont mouillés de larmes
তর কাদাৎ চেপয়া ঘুমজানি মনাসিলু,তোমার পাশে ঘুমাতে চেয়েছিলাম,I wanted to sleep next to you,我想睡在你旁边,मैं तुम्हारे बगल में सोना चाहता था,quería dormir a tu lado,Je voulais dormir à côté de toi
এরে পথগ কুরাঙ সালসেতা,এই পথ কোথায় গিয়েছে,Where did this path go?,这条路通向哪里？,यह रास्ता कहां गया?,¿A dónde fue este camino?,Où est passé ce chemin ?
যেহানি দিলে অহার আহৌ গুন মরাংতো মাগুরি,যা দিয়েছ তার শতগুন ফেরত চাও,Ask for a hundredfold return of what you have given,要求百倍回报你所付出的,जो दिया है उसका सौ गुना वापस मांगो,Pide que te devuelvan el ciento por uno de lo que has dado.,Demandez le retour au centuple de ce que vous avez donné
দু:খহানি আত দ্বিয়হাত চেলকরিয়া থসু,দু:খ গুলো দুহাতের মুঠোয় জায়গা দিয়েছি,I gave place to the sorrows in the palm of both hands,我把悲伤放在了双手的掌心,मैंने दुखों को दोनों हाथों की हथेली में जगह दी,Le di lugar a las penas en la palma de ambas manos.,J'ai cédé la place aux chagrins dans la paume des deux mains
তর পূন্যর ছায়াগত মি জিরাং বুলিয়া,তোমার পূন্যের ছায়াতে আশ্রয় নিতে চাই,I want to take refuge in the shadow of your virtue,我想投靠在你美德的阴影下,मैं आपके पुण्य की छाया में शरण लेना चाहता हूँ,Quiero refugiarme a la sombra de tu virtud,Je veux me réfugier à l'ombre de ta vertu
হিনানির সাপনগ নাপাওরি,গোসলের সাবান পাচ্ছি না,I can't get bath soap,我买不到沐浴露,मुझे नहाने का साबुन नहीं मिल रहा,no puedo conseguir jabon de bano,Je ne peux pas avoir de savon de bain
মিয়ুলগ উরুঙ দারুঙ করের,বুক ধড়ফড় করছে,Chest is pounding,胸口剧烈地跳动,छाती धड़क रही है,El pecho late con fuerza,La poitrine bat
হিনিয়া ইমে থানা আহের,গোসল করেই থাকতে ইচ্ছে করছে,I want to take a shower,我想洗澡,मैं स्नान करना चाहता हूँ,quiero darme una ducha,je veux prendre une douche
চাঙহান সউকরার তা?,এতো গরম লাগে?,Is it so hot?,有这么热吗？,क्या यह बहुत गर्म है?,¿Hace tanto calor?,Est-ce qu'il fait si chaud ?
তি মোরে চিনে পারলেতা?,তুমি কি আমাকে চিনতে পেরেছো?,do you recognize me,你认得我吗,क्या तुम मुझे पहचानते हो,¿Me reconoces?,est-ce que tu me reconnais
মোর দু:খ এহান মি আকখুলাগই পেইং,আমার দু:খ শুধু আমার জন্যই থাক,My sorrow is only for me,我的悲伤只为我自己,मेरा दुःख सिर्फ मेरे लिए है,mi pena es solo para mi,Mon chagrin est seulement pour moi
শুভ দার তা মুনি শৌ আগো ইসে,শুভদার একটি ছেলে সন্তান হয়েছে,Shuboda has a son,舒博达有一个儿子,शुबोदा का एक बेटा है,Shuboda tiene un hijo,Shuboda a un fils
সেঙয়া আয়,শুদ্ধ হয়ে এসো,come clean,坦白说出来,अपराध स्वीकार करना,confesarse,soyez honnête
শুভ আছির খবর হুনিয়া নুঙেই লাগিল,শুভ দের খবর শুনে ভাল লাগল,Glad to hear good news,很高兴听到好消息,अच्छी खबर सुनकर खुशी हुई,Me alegro de escuchar buenas noticias,Heureux d'entendre de bonnes nouvelles
আকহান কথা মাততে মাততে মি ঠুইয়লু,একই কথা বলতে বলতে বিরক্ত,Tired of saying the same thing,厌倦说同样的话,एक ही बात कहते-कहते थक गया हूं,Cansado de decir lo mismo,Fatigué de dire la même chose
হাদি এগো বপিয়া দুর্ঘটনা  অর,সম্প্রতি প্রচুর দুর্ঘটনা ঘটছে,A lot of accidents are happening recently,最近发生了很多事故,हाल ही में बहुत सारे हादसे हो रहे हैं,Muchos accidentes están ocurriendo últimamente.,De nombreux accidents se produisent récemment
মাঘর লপুকে ইংহান জিরেয়া আছে,মাঘের বিস্তৃত মাঠে শীত যেন নিশ্চিন্তে বিশ্রাম নিচ্ছে,Winter seems to be resting peacefully in the vast fields of Magh,冬天似乎在马格广阔的田野里平静地休息,माघ के विशाल मैदानों में शीतकाल शांतिपूर्वक विश्राम करता हुआ प्रतीत होता है,El invierno parece descansar plácidamente en los vastos campos del Magh,L'hiver semble se reposer paisiblement dans les vastes champs de Magh
তোর কথা আহানাৎ আর হাব্বি কথা কুরাঙ বাহিয়া গেলগা,তোমার এক কথায় বাকী সব কথা কোথায় হারিয়ে গেল,Where did all the other words disappear in your one word?,所有其他的词在你的一个词中消失在哪里？,आपके एक शब्द में बाकी सारे शब्द कहां गायब हो गये?,¿Dónde desaparecieron todas las demás palabras en tu única palabra?,Où tous les autres mots ont-ils disparu dans votre seul mot ?
বাক্কা কয়দিন পরে আজি হাবিগি তিলয়া আতলাঙ,অনেকদিন পর সবাই মিলে হাটা হলো,"After a long time, everyone walked together",许久之后，大家一起走了过去,बहुत दिनों बाद सब लोग एक साथ चले,"Después de mucho tiempo, todos caminaron juntos.","Après un long moment, tout le monde marchait ensemble"
আজি গারিগো দুখাওরি,আজ শরীর ব্যাথা করছে,Today the body hurts,今天身体有点痛,आज शरीर में दर्द है,hoy me duele el cuerpo,"Aujourd'hui, le corps fait mal"
ক্ষার,ক্ষুত অতার হউ খানা আহের,Khut Atar Hou Khana Aher,库特·阿塔尔·侯·卡纳·阿赫,ख़ुत अतर हौ खाना अहेर,Khut Atar Hou Khana Aher,Khut Atar Hou Khana Aher
নানিয়ার হউ মি হুয়াত নাপাউরি,নানিয়ার হউ মি হুয়াত নাপাউরি,Nanyar Hou Mi Huat Napauri,南亚侯米发纳帕里,नान्यार होऊ मी हुआत नेपौरी,Nanyar Hou Mi Huat Napauri,Nanyar Hou Mi Huat Napauri
কাবকে ধান থাপরসেগা,খই এ ধান রয়ে গেছে,Paddy remains in the paddy field,稻田仍留在稻田里,धान के खेत में धान पड़ा रहता है,Paddy permanece en el arrozal,Le paddy reste dans la rizière
পুনচি পালয়া থাইস,সুস্থ থেকো,stay healthy,保持健康,स्वस्थ रहें,mantente saludable,rester en bonne santé
খানি খামকরেই,বেলিয়া নাযাকগা,Belia nazagga,贝利亚·纳扎加,बेलिया नज़ग्गा,belia nazagga,Bélia nazagga
দুখিলু জবর,বেশি ব্যথা পেলাম,I got more pain,我更加痛苦了,मुझे और दर्द हुआ,tengo mas dolor,J'ai plus de douleur
খানিক করে মাতে দেই,আকখুরুম মেইথঙহান তুলিয়া চাক,Akkhurum Meithanghan Tulia Chak,阿库鲁姆·梅坦汉·图利亚·查克,अक्खुरुम मीथांगन तुलिया चक,Akkhurum Meithanghan Tulia Chak,Akkhurum Meithanghan Tulia Chak
গাটহানর পারগত বহেসিলু,নদীর তীরে বসে ছিলাম,I was sitting on the river bank,我坐在河边,मैं नदी किनारे बैठा था,Estaba sentado en la orilla del río.,J'étais assis au bord de la rivière
হাবিরেও খানি খানি চিনৌরি,সবাইকে মোটামুটি চিনি,I know everyone,我认识每个人,मैं सबको जानता हूं,conozco a todos,je connais tout le monde
ইমে নাঙহান পাহুরেছুতা না,শুধু নাম ভুলে গেছি আর কি,Just forgot the name and what,只是忘记了名字和内容,बस नाम भूल गया और क्या,Olvidé el nombre y qué,J'ai juste oublié le nom et quoi
শাতহান না পাহুরেসু,চেহারা ভুলি নাই,Do not forget the face,别忘了脸,चेहरा मत भूलना,No te olvides de la cara,N'oubliez pas le visage
খওগ বুজিয়া থনার পথ নেই,ব্যাগ ভরে গেছে আর রাখার জায়গা নাই,The bag is full and there is no room to store it,袋子已经满了，没有空间存放,बैग भरा हुआ है और उसे रखने की जगह नहीं है,La bolsa está llena y no hay espacio para guardarla.,Le sac est plein et il n'y a pas de place pour le ranger
মাঙসে আংঠিগ পেইলু,হারোনা আংটি পেয়েছি,I lost the ring,我把戒指弄丢了,मैंने अंगूठी खो दी,perdí el anillo,J'ai perdu la bague
তা তর কিগ থকর?,সে তোমার কী হয়?,What does he do to you?,他对你做了什么？,वह आपके साथ क्या करता है?,¿Qué te hace?,Que te fait-il ?
জনম আহান তোরে বাসেয়া আছুগ,এক জনম তোমার অপেক্ষায় আছি,I am waiting for you,我在等你,मेरे द्वारा आपकी प्रतीक्षा की जा रही है,estoy esperándote,je vous attends
ঘুমে আছে সংসার এহান প্রলয়র আগে খাং লাগিয়া উঠক,প্রলয়ের পূর্বেই চমকে জেগে উঠুক এই নিদ্রিত সংসার,Let this sleeping family wake up before the deluge,让这个沉睡的家庭在洪水来临前醒来,जलप्रलय से पहले इस सोते हुए परिवार को जगा दो,Que esta familia dormida despierte antes del diluvio.,Que cette famille endormie se réveille avant le déluge
মি তরে লহঙ করানি মনাওরি,আমি তুমাকে বিয়ে করতে চাই,i want to marry you,我想嫁给你,मैं तुमसे शादी करना चाहता हूँ,quiero casarme contigo,je veux t'épouser
বহুদিন পরে দেখলু,কুরাঙ লুকেয়া আছৎহান,Kurang Lukeya Achtahan,库朗·卢克亚·阿克塔汉,कुरंग लुकेया अचताहन,Kurang Lukeya Achtahan,Kurang Lukeya Achtahan
সৌগ কাদের তা কিদিয়া,বাচ্চাটি কাদছে কেন,Why is the baby crying?,宝宝为什么哭？,बच्चा क्यों रो रहा है?,¿Por qué llora el bebé?,Pourquoi le bébé pleure-t-il ?
ফ্যানহার পাখাহার অসারে মর মুরগ পাকদের,ফ্যানের পাখার মতো আমার মাথা ঘুরছে,My head spins like a fan,我的头像风扇一样旋转,मेरा सिर पंखे की तरह घूम जाता है,Mi cabeza gira como un abanico,Ma tête tourne comme un fan
সংসার এহান নুঙেই না লাগের,বেলেয়া যানা আহের,Belya jana aher,贝尔亚·贾纳·阿赫,बेल्या जाना आहेर,Belya jana aher,Belya Jana Aher
বাশিগই হুদ্দা মোরে বিরহেলো খতকরিয়া থাইল,বাশি আমারে কেবল,Bashi is only me,巴什只是我一个人,बशी केवल मैं हूं,Bashi soy solo yo,Bashi c'est seulement moi
জিগত পুরুরি অহান কিসারে বাগেইতু,আগুনে পুড়ি,burn in fire,在火中燃烧,आग में जलना,arder en fuego,brûler dans le feu
সাকতাহান জোলাকাহার অসারে ঙালসে,মুখটা চাঁদের মত উজ্জ্বল,The face is bright like the moon,脸庞明亮如月光,चेहरा चंद्रमा के समान उज्ज्वल है,La cara es brillante como la luna.,Le visage est brillant comme la lune
নুঙশি হজকর ঝুল আহান খানা আহের,পুদিনা পাতার ঝুল খেতে মন চাই,I want to eat mint leaves,我想吃薄荷叶,मैं पुदीने की पत्तियां खाना चाहता हूं,quiero comer hojas de menta,je veux manger des feuilles de menthe
মরতা ঘুম নাহের,আমার ঘুম আসছে না,i can't sleep,我睡不着,मुझे नींद नहीं आ रही,no puedo dormir,je ne peux pas dormir
মরতা মুরগ পাকদের,আমার মাথা ঘুরাছে,my head is spinning,我头晕目眩,मेरा सिर घूम रहा है,mi cabeza esta dando vueltas,j'ai la tête qui tourne
আখিগ বন্ধ ইয়া আহের,চোখ বন্ধ হয়ে আসছে,Eyes are closing,眼睛正在闭上,आंखें बंद हो रही हैं,los ojos se estan cerrando,Les yeux se ferment
মরতা এলা হুনানি নুংগি লাগের,আমার গান শুনতে ভালো লাগে,I like listening to music,我喜欢听音乐,मुझे संगीत सुनना पसन्द है,me gusta escuchar musica,J'aime écouter de la musique
লামুই রুহিতারা,শেয়াল ডাকে,The fox called,狐狸叫道,लोमड़ी ने बुलाया,El zorro llamó,Le renard a appelé
মি ঘুমিলুগা অত্তে,আমি ঘুমাতে গেলাম তাহলে,I went to sleep then,然后我就去睡觉了,फिर मैं सोने चला गया,entonces me fui a dormir,Je me suis endormi alors
এপাগা আগেকার অসারে মোষ নাদেখোরাঙ,এখন আগের মত মহিষ দেখা যায় না,Now buffaloes are not seen like before,现在水牛不再像以前那样被看见了,अब पहले जैसी भैंसें नजर नहीं आतीं,Ahora los búfalos no se ven como antes,"Désormais, les buffles ne sont plus vus comme avant"
কিহান থাঙ চাংঅহান লেখরহান,কি এত লিখো,write so much,写这么多,इतना लिखो,escribe tanto,écrire tellement
গুরুর সেংকুম হাবিত্ত হুয়াত,গরুর দুধ সবচেয়ে সুস্বাদু,Cow's milk is the most delicious,牛奶是最好吃的,गाय का दूध सबसे स्वादिष्ट होता है,La leche de vaca es la más deliciosa.,Le lait de vache est le plus délicieux
বিদ্যা মি নামাতিসু,সত্যি আমি বলিনি,I didn't really say,我真的没说,मैंने वास्तव में नहीं कहा,Realmente no dije,Je n'ai pas vraiment dit
গুরু সেংকুম খানা আহের,গরুর দুধ খেতে ইচ্ছা করছে,He wants to drink cow's milk,他想喝牛奶,वह गाय का दूध पीना चाहता है,Quiere beber leche de vaca.,Il veut boire du lait de vache
ঘুমানি আহের,ঘুমাতে ইচ্ছা করছে,wants to sleep,想睡觉,सोना चाहता है,quiere dormir,veut dormir
এলা হুনলেই নাসানি আহের,গান শুনলেই নাচতে ইচ্ছা করে,He wants to dance when he hears music,当他听到音乐时他想跳舞,जब वह संगीत सुनता है तो वह नृत्य करना चाहता है,Quiere bailar cuando escucha música.,Il veut danser quand il entend de la musique
মর মুহিয়ে আজি ইরলপা হিজাসে,আমার মাসি আজকে ইরলপা রান্না করসে,My aunt is cooking Irolpa today,我阿姨今天做饭伊洛尔帕,मेरी चाची आज इरोल्पा पका रही हैं,Mi tía está cocinando Irolpa hoy.,Ma tante cuisine de l'Irolpa aujourd'hui
হুদ্দা এলা দিয়া থানা আহের,শুধু গান গেয়ে থাকতে মন চায়,I just want to sing,我只想唱歌,मैं तो बस गाना चाहता हूं,solo quiero cantar,je veux juste chanter
আসতা দিনহান ঘুমিয়া থানা পারলু অইসতে,যদি পুরো দিন ঘুমিয়ে থাকতে পারতাম,If only I could sleep all day,如果我能睡一整天就好了,काश मैं पूरे दिन सो पाता,Si tan solo pudiera dormir todo el día,Si seulement je pouvais dormir toute la journée
নুয়ারলু নাই,পারলাম না তো,I couldn't,我不能,मैं नहीं कर सका,no pude,Je ne pouvais pas
গোবর্ধন পূজার দিনে গুরু হিনাদেরাঙ,গোবর্ধন পূজার দিন গরুকে গোসল করানো হয়,Cows are bathed on the day of Govardhan Puja,Govardhan Puja 当天给奶牛洗澡,गोवर्धन पूजा के दिन गायों को स्नान कराया जाता है,Las vacas se bañan el día de Govardhan Puja.,Les vaches sont baignées le jour de Govardhan Puja
এতা হাবি,এত গুলা,So many things,这么多的事情,इतनी अनेक चीजे,tantas cosas,Tant de choses
মি দরপা বেল্লু,আমি ভয় পেয়ে গেছি,I'm scared,我很害怕,मुझे डर लग रहा है,Tengo miedo,J'ai peur
খুড়ায় মাঙ্কলে বহিয়া এলা দের,কাকা বারান্দায় বসে গান গাইছে,Kaka is sitting on the balcony and singing,卡卡坐在阳台上唱歌,काका बालकनी में बैठे हैं और गा रहे हैं,Kaká está sentado en el balcón y cantando.,Kaka est assis sur le balcon et chante
মি তে ভূত আহিলাহান বুলিয়া,আমি মনে করেছি ভূত আসেছে,I thought the ghost had arrived,我还以为鬼魂来了,मुझे लगा कि भूत आ गया है,Pensé que había llegado el fantasma,Je pensais que le fantôme était arrivé
মরে খানি বাংগাদে,আমাকে একটু শিখাও,teach me a little,教我一点,मुझे थोड़ा सिखाओ,enséñame un poco,apprends-moi un peu
আরতা নুয়ারলু মি,আর পারলাম না আমি,I couldn't anymore,我不能再这样了,मैं अब और नहीं कर सकता,ya no pude,je n'en pouvais plus
নিংশাহান থেপকরের,নিশ্বাস আটকে যাচ্ছে,Shortness of breath,气促,सांस लेने में कठिनाई,Dificultad para respirar,Essoufflement
আহিল নাই,আসছে তো,is coming,即将到来,आ रहा है,esta viniendo,arrive
হাই আহিল,হ্যাঁ আসছে,yes coming,是的，来了,हाँ आ रहा हूँ,si viene,"oui, je viens"
কিহান তে করতু,কি করব,what to do,该怎么办,क्या करें,que hacer,ce qu'il faut faire
মরে খানি কাম পাংকর,আমাকে কাজে সাহায্য করো,help me work,帮我工作,मुझे काम करने में मदद करो,ayúdame a trabajar,aide-moi à travailler
মি আকগর বারাদেউ নাগই,আমি কারো পক্ষে নই,I am not for anyone,我不为任何人,मैं किसी के लिए नहीं हूं,no soy para nadie,je ne suis pour personne
জনম এহানাৎ আকদিন মোর বারাদে নাইলে,এই জীবনে একবারো আমার পক্ষে হলে না,Not once in my life,我一生中没有一次,मेरे जीवन में एक बार भी नहीं,Ni una sola vez en mi vida,Pas une seule fois dans ma vie
হুদালা আত এহানরে অইলেও ধরবে নায়,শুন্যে হাত হলেও ধরে রাখো,Hold it even with empty hands,即使双手空空也能握住,खाली हाथ भी इसे पकड़ें,Sosténgalo incluso con las manos vacías,Tenez-le même avec les mains vides
